icao,iata,name,attr,longitude,latitude,level,city,tyep
ZBYC,YCU,运城张孝,机场,111.0438493,35.1216972,4D,运城,军民合用机场
ZSYC,YIC,宜春明月山,机场,114.3179747,27.80498831,,宜春,
ZBES,YIE,阿尔山伊尔施,机场,119.9248604,47.31836479,4C,阿尔山,民用支线机场
ZHYC,YIH,宜昌三峡,机场,111.4921944,30.56041284,4D,宜昌,民用运输机场
ZWYN,YIN,伊宁,机场,81.33986942,43.96309361,,伊宁,
ZSYW,YIW,义乌,机场,120.0432147,29.34803469,4D,义乌,军民合用机场
ZYYK,YKH,营口兰旗,机场,122.3704628,40.55004612,4C,营口,民用运输机场
ZYYJ,YNJ,延吉朝阳川,国际机场,129.4645856,42.89158402,,延吉,
ZSYT,YNT,烟台蓬莱,国际机场,121.3838353,37.40831513,4E,烟台,民用运输机场
ZSYN,YNZ,盐城南洋,国际机场,120.2144008,33.43033139,,盐城,
ZYSQ,YSQ,松原查干湖,机场,124.5626568,44.94635796,,松原,
ZSYA,YTY,扬州泰州,机场,119.7288012,32.56400365,4E,泰州,民用运输机场
ZPYM,YUA,元谋,,101.8897726,25.74053638,,,
ZLYS,YUS,玉树巴塘,机场,97.0434803,32.84004151,,玉树,
ZGYY,YYA,岳阳三荷,机场,113.290251,29.3176106,,岳阳,
ZLZY,YZY,张掖甘州,机场,100.6829136,38.80855917,,张掖,
ZPZT,ZAT,昭通,机场,103.7636583,27.3279972,,昭通,
ZGZJ,ZHA,湛江吴川,机场,110.3690021,21.21788909,,湛江,
ZLZW,ZHY,中卫沙坡头,机场,105.1648364,37.57964421,,中卫,
ZBZJ,ZQZ,张家口宁远,机场,114.9425976,40.74598903,,张家口,
ZGSD,ZUH,珠海金湾,机场,113.3879176,22.01003063,4E,珠海,民用运输机场
ZUZY,ZYI,遵义新舟,机场,107.0112779,27.59206735,,遵义,
